
"0","",""
"442651","TD4024E.TXT.r_69;TD4024E.TXT.r_70;TD4024E.TXT.r_71"," shes bya mthar thug rtogs pa'i blos // / +thams cad mkhyen pa'i chos nyid ni // / +sems can  thams cad la yod par // / ","0.014#TD4025E.TXT.r#2168301#2168302#TD4025E.TXT.r_369;TD4025E.TXT.r_370;TD4025E.TXT.r_371# ji lta ba bzhin du yod pa nas brtsams te rtogs par dka' ba'i bar rgyas par bstan pa ni mdo ji lta ba bzhin du rig par bya'o // / +shes BYA MTHAR THUG RTOGS PA'I BLOS // / "
"442661","TD4024E.TXT.r_72;TD4024E.TXT.r_73;TD4024E.TXT.r_74"," mthong phyir ji snyed yod pa nyid // / +de ltar rtogs pa gang yin de // / +so so rang shes mthong ba nyid // / ","0.0#TD4025E.TXT.r#2168344#2168355#TD4025E.TXT.r_376;TD4025E.TXT.r_377;TD4025E.TXT.r_378;TD4025E.TXT.r_379;TD4025E.TXT.r_380# chos kyi dbyings  kun tu 'gro ba'i don du rtogs pa'i phyir ro // / +de LTAR RTOGS PA GANG YIN DE // / +so SO RANG SHES MTHONG BA NYID // / "
"442671","TD4024E.TXT.r_75;TD4024E.TXT.r_76"," dri med dbyings la chags med dang / / +thogs med phyir de dag pa yin // / "
"442680","TD4024E.TXT.r_77;TD4024E.TXT.r_78"," ye shes gzigs pa dag pas na // / +sangs rgyas ye shes bla med phyir // / ","1.192#TD4025E.TXT.r#2168421#2168431#TD4025E.TXT.r_387;TD4025E.TXT.r_388;TD4025E.TXT.r_389;TD4025E.TXT.r_390;TD4025E.TXT.r_391# ji snyed yod pa nyid kyis shes bya'i dngos po mtha' med pa'i yul can gyi phyir ni thogs pa med pa yin no // / +ye SHES GZIGS PA DAG PAS NA // / +sangs RGYAS YE SHES BLA MED PHYIR // / "
"442688","TD4024E.TXT.r_79;TD4024E.TXT.r_80;TD4024E.TXT.r_81"," 'phags pa phyir mi ldog pa ni // / +lus can kun gyi skyabs yin no // / +ston pa bstan pa bslab don gyis // / "
"442699","TD4024E.TXT.r_82;TD4024E.TXT.r_83;TD4024E.TXT.r_84"," theg pa gsum dang byed gsum la // / +mos pa rnams kyi dbang byas nas // / +skyabs gsum rnam par bzhag pa yin // / ","0.021#TD4025E.TXT.r#2168636#2168636#TD4025E.TXT.r_417;TD4025E.TXT.r_418;TD4025E.TXT.r_419# theg gsum PA DANG BYED GSUM LA // / +mos PA RNAMS KYI DBANG BYAS NAS // / +skyabs  GSUM RNAM PAR GZHAG PA YIN // / "
"442709","TD4024E.TXT.r_85;TD4024E.TXT.r_86"," spang phyir bslu ba'i chos can phyir // / +med phyir  'jigs dang bcas pa'i phyir // / ","0.0#TD4025E.TXT.r#2168750#2168760#TD4025E.TXT.r_432;TD4025E.TXT.r_433;TD4025E.TXT.r_434;TD4025E.TXT.r_435# SDANG PHYIR SLU BA'I CHOS CAN PHYIR // / +med PHYIR 'JIGS DANG BCAS PA'I PHYIR // / "
"442719","TD4024E.TXT.r_87;TD4024E.TXT.r_88"," chos rnams gnyis dang 'phags pa'i tshogs // / +gtan gyi skyabs mchog ma yin no // / "
"442727","TD4024E.TXT.r_89;TD4024E.TXT.r_90;TD4024E.TXT.r_91"," dam pa'i don du 'gro ba yi // / +skyabs ni sangs rgyas nyag gcig yin // / +thub pa chos kyi sku can phyir // / ","0.0#TD4025E.TXT.r#2168995#2169005#TD4025E.TXT.r_469;TD4025E.TXT.r_470;TD4025E.TXT.r_471;TD4025E.TXT.r_472;TD4025E.TXT.r_473# de ltar skyabs gnyis po 'di ni mthar thug pa'i dus na skyabs ma yin bar brjod do // / +dam PA'I DON DU 'GRO BA YI // / +skyabs NI SANGS RGYAS NYAG GCIG  nyid // / "
"442739","TD4024E.TXT.r_92;TD4024E.TXT.r_93"," tshogs kyang de yi mthar thug phyir // / +'byung ba dkon  phyir dri med phyir // / ","0.0#TD4025E.TXT.r#2169083#2169085#TD4025E.TXT.r_482;TD4025E.TXT.r_483;TD4025E.TXT.r_484# 'phags pa dbal phreng gi mdo'i rjes su 'brangs nas rtogs par bya'o // / +'byung BA DKON PHYIR DRI MED PHYIR // / "
"442749","TD4024E.TXT.r_94;TD4024E.TXT.r_95"," mthu ldan phyir dang 'jig rten gyi // / +rgyan gyur phyir dang mchog nyid phyir // / ","0.0#TD4025E.TXT.r#2169086#2169096#TD4025E.TXT.r_483;TD4025E.TXT.r_484;TD4025E.TXT.r_485;TD4025E.TXT.r_486# 'byung ba dkon phyir dri med phyir // / +mthu LDAN PHYIR DANG 'JIG RTEN GYI // / "
"442759","TD4024E.TXT.r_96;TD4024E.TXT.r_97"," 'gyur ba med phyir dkon mchog nyid // / +dri bcas de bzhin nyid dang dri ma med // / ","0.024#TD4025E.TXT.r#2169190#2169190#TD4025E.TXT.r_495;TD4025E.TXT.r_496# dri BCAS DE BZHIN NYID DANG DRI  ma med // / +dri med sangs rgyas yon tan rgyal ba'i mdzod // / "
"442768","TD4024E.TXT.r_98;TD4024E.TXT.r_99"," dri med sangs rgyas yon tan rgyal ba'i mdzad // / +gang las dkon mchog dge ba gsum 'byung ba //// / ","5.960#TD4025E.TXT.r#2169191#2169201#TD4025E.TXT.r_495;TD4025E.TXT.r_496;TD4025E.TXT.r_497;TD4025E.TXT.r_498# dri bcas de bzhin nyid dang dri  ma med // / +dri MED SANGS RGYAS YON TAN RGYAL BA'I MDZOD // / "
"442780","TD4024E.TXT.r_100;TD4024E.TXT.r_101;TD4024E.TXT.r_102"," don dam gzigs pa rnams kyi yul nyid do // / +dkon mchog gsum po 'di yi rigs // / +thams cad gzigs pa rnams kyi yul // / ","0.0#TD4025E.TXT.r#2169215#2169223#TD4025E.TXT.r_500;TD4025E.TXT.r_501;TD4025E.TXT.r_502;TD4025E.TXT.r_503# dkon MCHOG GSUM PO 'DI YI RIGS // / +thams cad gzigs    BA RNAMS KYI YUL // / "
"442790","TD4024E.TXT.r_103;TD4024E.TXT.r_104"," de yang rnam bzhi go rims bzhin // / +rgyu bzhi yis ni bsam mi khyab // / "
"442799","TD4024E.TXT.r_105;TD4024E.TXT.r_106"," dag dang nyon mongs dang ldan phyir // / +ku nas nyon mongs med  dag phyir // / ","0.0#TD4025E.TXT.r#2169315#2169327#TD4025E.TXT.r_511;TD4025E.TXT.r_512;TD4025E.TXT.r_513;TD4025E.TXT.r_514# dag dang  NYON MONGS DANG LDAN PHYIR // / +kun NAS NYON MONGS MED DAG PHYIR // / "
"442808","TD4024E.TXT.r_107;TD4024E.TXT.r_108"," rnam par dbye ba med chos phyir // / +lhun grub rnam par mi rtog phyir // / "
"442817","TD4024E.TXT.r_109;TD4024E.TXT.r_110;TD4024E.TXT.r_111"," rtogs bya rtogs pa de yi ni // / +yan lag rtogs par byed phyir te // / +go rims ji bzhin gnas gcig de // / ","0.0#TD4025E.TXT.r#2170017#2170024#TD4025E.TXT.r_597;TD4025E.TXT.r_598;TD4025E.TXT.r_599;TD4025E.TXT.r_600# RTOGS BYA RTOGS PA DE YI NI // / +yan LAG RTOGS PAR BYED PHYIR TE // / "
"442828","TD4024E.TXT.r_112;TD4024E.TXT.r_113"," dag rgyu gsum ni rkyen yin no // / +rdzogs sangs sku ni 'phro phyir dang / / ","0.0#TD4025E.TXT.r#2170174#2170174#TD4025E.TXT.r_615;TD4025E.TXT.r_616# rdzogs SANGS SKU NI 'PHRO PHYIR DANG / / +de bzhin nyid dbyer med phyir dang / / "
"442836","TD4024E.TXT.r_114;TD4024E.TXT.r_115"," de bzhin nyid dbyer med phyir dang / / +rigs yod phyir na lus can kun // / ","0.0#TD4025E.TXT.r#2170175#2170185#TD4025E.TXT.r_615;TD4025E.TXT.r_616;TD4025E.TXT.r_617;TD4025E.TXT.r_618# rdzogs sangs sku ni 'phro phyir dang / / +de BZHIN NYID DBYER MED PHYIR DANG / / "
"442846","TD4024E.TXT.r_116;TD4024E.TXT.r_117"," rtag tu sangs rgyas snying po can // / +sangs rgyas ye shes sems can tshogs zhugs phyir // / ","0.0#TD4025E.TXT.r#2170204#2170205#TD4025E.TXT.r_620;TD4025E.TXT.r_621# sangs RGYAS YE SHES SEMS CAN TSHOGS ZHUGS PHYIR // / "
"442856","TD4024E.TXT.r_118;TD4024E.TXT.r_119"," rang bzhin dri med de ni gnyis med de // / +sangs rgyas rigs la de 'bras nyer brtags phyir // / ","0.0#TD4025E.TXT.r#2170206#2170219#TD4025E.TXT.r_620;TD4025E.TXT.r_621;TD4025E.TXT.r_622;TD4025E.TXT.r_623# sangs rgyas ye shes sems can tshogs zhugs phyir // / +rang bzhin dri med  DE NI GNYIS MED DE // / "
"442867","TD4024E.TXT.r_120;TD4024E.TXT.r_121"," 'gro kun  sangs rgyas snying po can du gsungs // / +ngo bo rgyu 'bras las ldan 'jug pa dang / / ","0.0#TD4025E.TXT.r#2170271#2170272#TD4025E.TXT.r_629;TD4025E.TXT.r_630# ngo BO RGYU 'BRAS LAS LDAN 'JUG PA DANG / / "
"442879","TD4024E.TXT.r_122;TD4024E.TXT.r_123"," gnas skabs de bzhin kun tu 'gro ba'i don // / +rtag tu mi 'gyur yon tan dbyer med ni // / ","0.0#TD4025E.TXT.r#2170273#2170285#TD4025E.TXT.r_629;TD4025E.TXT.r_630;TD4025E.TXT.r_631;TD4025E.TXT.r_632# ngo bo rgyu 'bras las ldan 'jug pa dang / / +gnas SKABS DE BZHIN KUN TU 'GRO BA'I DON // / "
"442889","TD4024E.TXT.r_124;TD4024E.TXT.r_125"," don dam dbyings kyi dgongs don yin zhes bya // / +rin chen nam mkha' chu dag bzhin // / ","0.0#TD4025E.TXT.r#2170344#2170344#TD4025E.TXT.r_639;TD4025E.TXT.r_640# rin chen  NAM MKHA' CHU DAG BZHIN // / +rtag tu rang bzhin nyon mongs med // / "
"442900","TD4024E.TXT.r_126;TD4024E.TXT.r_127"," rtag tu  rang bzhin nyon mongs med // / +chos mos lhag pa'i shes rab dang / / ","0.0#TD4025E.TXT.r#2170345#2170352#TD4025E.TXT.r_639;TD4025E.TXT.r_640;TD4025E.TXT.r_641;TD4025E.TXT.r_642# rin chen  nam mkha' chu dag bzhin // / +rtag TU RANG BZHIN NYON MONGS MED // / "
"442908","TD4024E.TXT.r_128;TD4024E.TXT.r_129"," ting 'dzin snying brtse las byung ba // / +mthu dang gzhan du mi 'gyur dang / / "
"442917","TD4024E.TXT.r_130;TD4024E.TXT.r_131"," brlan pa'i ngo bo'i rang bzhin phyir // / +'di dag nor bu rin chen mkha' // / ","0.0#TD4025E.TXT.r#2170371#2170377#TD4025E.TXT.r_645;TD4025E.TXT.r_646;TD4025E.TXT.r_647# BRLAN PA'I NGO BO RANG BZHIN PHYIR // / +'di DAG NOR BU RIN CHEN MKHA' // / "
"442927","TD4024E.TXT.r_132;TD4024E.TXT.r_133"," chu yi yon tan chos mthun nyid // / +chos la khong khro bdag  lta dang / / ","0.0#TD4025E.TXT.r#2170498#2170499#TD4025E.TXT.r_656;TD4025E.TXT.r_657# chos LA KHONG KHRO BDAG LTA DANG / / +'khor ba'i sdug bsngal gyis 'jigs dang / / "
"442936","TD4024E.TXT.r_134;TD4024E.TXT.r_135;TD4024E.TXT.r_136"," 'khor ba'i sdug bsngal gyis 'jigs dang / / +sems can don la ltos med nyid // / +'dod chen mu stegs nyan thos dang / / ","0.016#TD4025E.TXT.r#2170508#2170510#TD4025E.TXT.r_658;TD4025E.TXT.r_659;TD4025E.TXT.r_660# sems  CAN DON LA LTOS MED PA // / +'dod CHEN MU STEGS NYAN THOS DANG / / ","0.018#TD4025E.TXT.r#2170498#2170499#TD4025E.TXT.r_656;TD4025E.TXT.r_657# chos la khong khro bdag lta dang / / +'khor BA'I SDUG BSNGAL GYIS 'JIGS DANG / / "
"442946","TD4024E.TXT.r_137;TD4024E.TXT.r_138"," rang byung rnams kyi sgrib rnam bzhi // / +dag rgyu lhag par mos pa la // / ","0.025#TD4025E.TXT.r#2170518#2170519#TD4025E.TXT.r_660;TD4025E.TXT.r_661;TD4025E.TXT.r_662# RANG BYUNG RNAMS KYI SGRIB RNAM BZHIN // / +dag RGYU LHAG PAR MOS PA LA // / +sogs pa'i chos ni rnam bzhi nyid // / "
